pair_speaker,text,from_ts,to_ts,utterance_from_ts,utterance_to_ts,original_utterance,speaker,pair
019_A,En,440.018,440.1195656565656,440.018,442.029,En dat vind ik op een zwembad lijken met zo'n trappetje.,A,019
019_A,En,442.433,442.4939910714286,442.433,444.71,En hij heeft zo'n ketting van rondjes achter zich.,A,019
019_A,Even,460.195,460.3636857142857,460.195,460.933,Even kijken hoor.,A,019
019_A,Eh,461.161,461.55525,461.161,462.074,Eh volgens mij...,A,019
019_A,"Oh,",462.566,463.19473239436616,462.566,465.446,"Oh, die ene met een soort s- een soort spijker door de neus.",A,019
019_A,Het,465.832,465.9757272727273,465.832,467.413,"Het is een piercing, gewoon da ja.",A,019
019_A,"Ja,",467.782,468.10623076923076,467.782,468.344,"Ja, *F*.",A,019
019_A,"Oké,",468.769,469.024375,468.769,469.45,"Oké, dan is het *F*.",A,019
019_A,Ehm,470.917,471.89645945945944,470.917,472.427,Ehm deze heeft...,A,019
019_A,Het,472.512,472.6140987654321,472.512,474.166,Het is ook die ander met een dienblad.`,A,019
019_A,Maar,474.474,474.5973243243243,474.474,475.995,Maar die jij toen bedoelde met die olifantensturf.,A,019
019_A,En,476.015,476.11672043010753,476.015,477.907,En twee twee sprietjes bovenop.,A,019
019_A,En..,478.521,478.9295,478.521,478.908,En...,A,019
019_A,"Ja,",494.894,495.5169090909091,494.894,496.036,"Ja, dat is gewoon...",A,019
019_A,Die,497.311,497.3935714285714,497.311,498.178,"Die we al hebben gehad, toch?",A,019
019_A,Vol-,500.033,500.30387755102043,500.033,501.054,"Vol- volgens mij ook, ja.",A,019
019_A,Zes,501.094,501.30335483870965,501.094,501.743,Zes rondes.,A,019
019_A,"Nou,",503.156,503.3242424242424,503.156,503.85,"Nou, dit is *K*.",A,019
019_A,Ehm,505.378,505.80885,505.378,506.609,Ehm dit is met de piercing.,A,019
019_A,Die,507.8,507.9045454545455,507.8,508.49,Die we net ook hadden.,A,019
019_A,Oi,514.773,515.0413636363637,514.773,515.019,(Oi),A,019
019_A,De,515.907,515.9970000000001,515.907,516.267,De boot.,A,019
019_A,Even,516.287,516.4162307692308,516.287,516.847,Even kijken.,A,019
019_A,Waar,516.867,517.0172307692308,516.867,517.425,Waar is die?,A,019
019_A,"Oh,",517.952,518.3084516129032,517.952,518.602,"Oh, *M*.",A,019
019_A,Ehm,520.762,521.4752758620689,520.762,522.535,Ehm dit is die zonnepaneel,A,019
019_A,en,522.57,522.7324000000001,522.57,524.397,en met die eh staaf achterlangs.,A,019
019_A,Met,524.585,524.6893055555556,524.585,525.336,Met die twee rondjes.,A,019
019_A,Die,526.387,526.9516857142856,526.387,527.119,Die (zo),A,019
019_A,"Zo,",543.324,543.6136727272727,543.324,544.462,"Zo, die naar links wijst.",A,019
019_A,Zo'n,544.502,544.9001739130434,544.502,545.466,Zo'n uitsteksel nog.,A,019
019_A,"Oké,",546.573,546.9036666666666,546.573,547.503,"Oké, dan is het *D*.",A,019
019_A,Dit,549.38,549.505625,549.38,550.05,Dit is de eend.,A,019
019_A,Met,550.761,550.8837761194029,550.761,552.132,Met die platte piramide bovenop.,A,019
019_A,Vierkant,563.211,564.14475,563.211,564.124,Vierkant.,A,019
019_A,"Oh,",564.253,564.6213333333334,564.253,564.773,"Oh, ja.",A,019
019_A,Met,564.793,564.8774324324324,564.793,565.574,"Met dat schild, zeg maar.",A,019
019_A,En,565.594,565.67555,565.594,567.225,En met eh die gebouwen en paddestoel.,A,019
019_A,I,568.417,568.7555714285714,568.417,568.733,*I*.,A,019
019_A,Ehm,569.962,570.6395714285715,569.962,571.543,Ehm dit is...,A,019
019_A,Diegene,572.019,572.8580357142857,572.019,573.738,Diegene met ehm,A,019
